카테고리,기능ID,기능명,상세설명,우선순위,상태,담당자,관련컴포넌트/API
인증/권한,AUTH-001,로그인,사용자 인증 및 로그인 기능,High,구현완료,Backend,Login.js / apis/index.js
인증/권한,AUTH-002,쿠키 기반 인증,ivInnerboard_auth 쿠키를 통한 세션 관리,High,구현완료,Backend,apis/index.js
인증/권한,AUTH-003,자동 토큰 갱신,API 요청 시 Authorization 헤더 자동 추가,High,구현완료,Backend,apis/index.js (interceptor)
보드 관리,BOARD-001,보드 목록 조회,사용자의 보드 목록을 조회하는 기능,High,구현완료,Frontend,apis/board.js
보드 관리,BOARD-002,보드 생성,새로운 보드를 생성하는 기능,High,구현완료,Frontend,BoardManage.js / apis/board.js
보드 관리,BOARD-003,보드 수정,기존 보드의 정보를 수정하는 기능,High,구현완료,Frontend,BoardManage.js / apis/board.js
보드 관리,BOARD-004,보드 삭제,보드를 삭제하는 기능,Medium,구현완료,Frontend,BoardManage.js / apis/board.js
보드 관리,BOARD-005,보드 미리보기,보드의 미리보기를 제공하는 기능,Medium,구현완료,Frontend,Preview.js / PreviewModal.js
보드 관리,BOARD-006,보드 연결 설정,쇼핑몰과 보드를 연결하는 설정 기능,High,구현완료,Frontend,ConnectSetting.js / apis/board.js
상품 관리,PROD-001,상품 목록 조회,등록된 상품 목록을 조회하는 기능,High,구현완료,Frontend,apis/product.js
상품 관리,PROD-002,상품 검색,상품을 검색하는 기능,Medium,구현완료,Frontend,apis/product.js
상품 관리,PROD-003,상품 연결,보드에 상품을 연결하는 기능,High,구현완료,Frontend,ProductConnectModal.js / apis/product.js
상품 관리,PROD-004,상품 박스 표시,상품을 박스 형태로 표시하는 UI,Medium,구현완료,Frontend,ProductBox.js
상품 그룹,GROUP-001,상품 그룹 생성,새로운 상품 그룹을 생성하는 기능,High,구현완료,Frontend,AddProductGroupModal.js / apis/productGroup.js
상품 그룹,GROUP-002,상품 그룹 수정,기존 상품 그룹을 수정하는 기능,High,구현완료,Frontend,ProductGroupEditor.js / apis/productGroup.js
상품 그룹,GROUP-003,상품 그룹 삭제,상품 그룹을 삭제하는 기능,Medium,구현완료,Frontend,apis/productGroup.js
상품 그룹,GROUP-004,상품 그룹 목록,상품 그룹 목록을 표시하는 기능,High,구현완료,Frontend,ProductGroupList.js / apis/productGroup.js
상품 그룹,GROUP-005,상품 그룹 복사,기존 상품 그룹을 복사하는 기능,Low,구현완료,Frontend,CopyGroupModal.js / apis/productGroup.js
상품 그룹,GROUP-006,상품 그룹 캐러셀,상품 그룹을 캐러셀 형태로 표시,Medium,구현완료,Frontend,PrdGroupCarouselView.js
상품 그룹,GROUP-007,모바일 캐러셀,모바일 환경에서의 캐러셀 표시,Medium,구현완료,Frontend,PrdGroupCarouselViewMobile.js
상품 그룹,GROUP-008,상품 그룹 설정,상품 그룹의 세부 설정 기능,Medium,구현완료,Frontend,ProductGroupSetting.js
이벤트 관리,EVENT-001,이벤트 생성,새로운 이벤트를 생성하는 기능,High,구현완료,Frontend,AddEventModal.js
이벤트 관리,EVENT-002,이벤트 폴더,이벤트를 폴더로 관리하는 기능,Medium,구현완료,Frontend,EventFolderItem.js / apis/folder.js
이벤트 관리,EVENT-003,이벤트 카테고리,이벤트 카테고리 관리 기능,Medium,구현완료,Frontend,apis/category.js
UI/UX,UI-001,드래그 앤 드롭,아이템의 순서를 드래그로 변경하는 기능,Medium,구현완료,Frontend,react-beautiful-dnd
UI/UX,UI-002,날짜 선택기,날짜를 선택하는 UI 컴포넌트,Medium,구현완료,Frontend,DatePickerModal.js / DatePickerInput.js
UI/UX,UI-003,컬러 피커,색상을 선택하는 UI 컴포넌트,Low,구현완료,Frontend,ColorPicker.js
UI/UX,UI-004,커스텀 셀렉트,커스텀 스타일의 셀렉트 박스,Medium,구현완료,Frontend,CustomSelect.js
UI/UX,UI-005,체크박스,커스텀 체크박스 컴포넌트,Low,구현완료,Frontend,Checkbox.js
UI/UX,UI-006,입력 필드,커스텀 입력 필드 컴포넌트,Medium,구현완료,Frontend,Input.js
UI/UX,UI-007,레이블,커스텀 레이블 컴포넌트,Low,구현완료,Frontend,Label.js
UI/UX,UI-008,로딩 인디케이터,로딩 상태를 표시하는 UI,High,구현완료,Frontend,Loading.js / GlobalLoadingSlice.js
알림/피드백,NOTI-001,토스트 알림,사용자에게 토스트 메시지를 표시,High,구현완료,Frontend,react-toastify / ToastSlice.js
알림/피드백,NOTI-002,확인 다이얼로그,사용자 확인이 필요한 다이얼로그,High,구현완료,Frontend,Confirm.js / ConfirmSlice.js
알림/피드백,NOTI-003,정보 라벨,정보를 표시하는 라벨 컴포넌트,Low,구현완료,Frontend,InfoLabel.js
알림/피드백,NOTI-004,경고 메시지,경고 메시지를 표시하는 컴포넌트,Medium,구현완료,Frontend,Warning.js
알림/피드백,NOTI-005,알림 텍스트,알림 텍스트를 표시하는 컴포넌트,Low,구현완료,Frontend,NotiText.js
알림/피드백,NOTI-006,로딩 토스트,로딩 상태를 토스트로 표시,Medium,구현완료,Frontend,LoadingToast.js
모달 시스템,MODAL-001,범용 모달,범용적으로 사용되는 모달 시스템,High,구현완료,Frontend,Modal.js / ModalSlice.js
모달 시스템,MODAL-002,이벤트 추가 모달,이벤트를 추가하는 모달,Medium,구현완료,Frontend,AddEventModal.js / AddEventModalSlice.js
모달 시스템,MODAL-003,상품 그룹 추가 모달,상품 그룹을 추가하는 모달,Medium,구현완료,Frontend,AddProductGroupModal.js / AddProductGroupModalSlice.js
모달 시스템,MODAL-004,기존 상품 그룹 모달,기존 상품 그룹을 선택하는 모달,Medium,구현완료,Frontend,ExistProductGroupModal.js
모달 시스템,MODAL-005,상품 연결 모달,상품을 연결하는 모달,High,구현완료,Frontend,ProductConnectModal.js
모달 시스템,MODAL-006,스크립트 설치 모달,스크립트 설치 안내 모달,Medium,구현완료,Frontend,ScriptInstallModal.js
모달 시스템,MODAL-007,사용자 플랜 정보 모달,사용자의 플랜 정보를 표시하는 모달,Low,구현완료,Frontend,UserPlanInfoModal.js
모달 시스템,MODAL-008,체험판 만료 모달,체험판 만료를 알리는 모달,Medium,구현완료,Frontend,ExpireTrialModal.js
튜토리얼,TUT-001,튜토리얼 페이지,전체 튜토리얼 페이지,Medium,구현완료,Frontend,Tutorial.js (Lazy Load)
튜토리얼,TUT-002,팁 모달,도움말 팁을 표시하는 모달,Low,구현완료,Frontend,TipModal.js / TipModalSlice.js
튜토리얼,TUT-003,보드 연결 튜토리얼,보드 연결 방법 안내,Medium,구현완료,Frontend,BoardConnectTutorialModal.js
튜토리얼,TUT-004,상품 연결 튜토리얼,상품 연결 방법 안내,Medium,구현완료,Frontend,ProductConnectTutorialModal.js
튜토리얼,TUT-005,상품 그룹 튜토리얼,상품 그룹 사용 방법 안내,Medium,구현완료,Frontend,ProductGroupTutorialModal.js
튜토리얼,TUT-006,이미지 미표시 안내,이미지가 표시되지 않을 때 안내,Low,구현완료,Frontend,ImageNotShowingModal.js
결제/구독,PAY-001,결제 정보 조회,사용자의 결제 정보를 조회,High,구현완료,Backend,apis/payment.js
결제/구독,PAY-002,체험판 만료 알림,체험판 만료 시 알림 표시,Medium,구현완료,Frontend,ExpireTrialPopUp.js / ExpireTrialFloatView.js
쇼핑몰 연동,MALL-001,쇼핑몰 정보 조회,연동된 쇼핑몰 정보를 조회,High,구현완료,Backend,apis/mall.js
쇼핑몰 연동,MALL-002,쇼핑몰 연결,쇼핑몰을 연결하는 기능,High,구현완료,Frontend,apis/mall.js
스크립트,SCRIPT-001,스크립트 생성,보드 삽입용 스크립트 생성,High,구현완료,Backend,apis/script.js
스크립트,SCRIPT-002,스크립트 다운로드,스크립트 파일 다운로드,Medium,구현완료,Frontend,apis/download.js
페이지네이션,PAGE-001,페이지네이션,목록의 페이지네이션 기능,Medium,구현완료,Frontend,Pagination.js
정렬/정렬,SORT-001,아이템 정렬,아이템을 정렬하는 기능,Medium,구현완료,Frontend,AlignItem.js
추가 기능,ADD-001,추가 버튼,범용 추가 버튼 컴포넌트,Low,구현완료,Frontend,AddButton.js
추가 기능,ADD-002,전체 텍스트 표시,호버 시 전체 텍스트를 표시,Low,구현완료,Frontend,FullTextOnHoverView.js
추가 기능,ADD-003,툴팁,툴팁을 표시하는 컴포넌트,Low,구현완료,Frontend,Tooltip.js
에러 처리,ERROR-001,API 에러 처리,API 에러 자동 처리 (4xx: Confirm 5xx: Toast),High,구현완료,Frontend,apis/index.js (interceptor)
에러 처리,ERROR-002,라우팅 에러 처리,라우팅 에러 페이지 표시,High,구현완료,Frontend,Error.js
에러 처리,ERROR-003,에러 바운더리,React 에러 바운더리 처리,Medium,검토필요,Frontend,N/A
상태 관리,STATE-001,Redux Store 설정,전역 상태 관리 스토어 설정,High,구현완료,Frontend,redux/store.js
상태 관리,STATE-002,React Query 설정,서버 상태 관리 설정,High,구현완료,Frontend,App.js
상태 관리,STATE-003,Redux DevTools,Redux 개발자 도구 연동,Low,구현완료,Frontend,redux/store.js
상태 관리,STATE-004,React Query DevTools,React Query 개발자 도구 연동,Low,구현완료,Frontend,App.js
테마/스타일,THEME-001,테마 시스템,라이트 테마 적용,Medium,구현완료,Frontend,styles/theme.js
테마/스타일,THEME-002,글로벌 스타일,전역 스타일 설정,High,구현완료,Frontend,styles/GlobalStyle.js
테마/스타일,THEME-003,다크 모드,다크 모드 지원,Low,미구현,Frontend,N/A
다국어,I18N-001,다국어 지원,React Intl을 통한 다국어 지원,Medium,구현완료,Frontend,react-intl / lang/
성능 최적화,PERF-001,코드 스플리팅,라우트 기반 코드 스플리팅,Medium,구현완료,Frontend,routes/index.js (Lazy)
성능 최적화,PERF-002,이미지 최적화,이미지 로딩 최적화,Medium,검토필요,Frontend,N/A
성능 최적화,PERF-003,번들 최적화,Webpack 번들 최적화,Medium,구현완료,Frontend,webpack.prod.js
성능 최적화,PERF-004,캐싱 전략,React Query 캐싱 전략,High,구현완료,Frontend,App.js (queryClient)
보안,SEC-001,XSS 방지,XSS 공격 방지,High,검토필요,Frontend/Backend,N/A
보안,SEC-002,CSRF 방지,CSRF 공격 방지,High,검토필요,Backend,N/A
보안,SEC-003,환경 변수 보안,민감 정보 환경 변수 관리,High,구현완료,Frontend,.env
접근성,A11Y-001,키보드 네비게이션,키보드로 모든 기능 접근 가능,Medium,검토필요,Frontend,N/A
접근성,A11Y-002,스크린 리더 지원,스크린 리더 지원,Medium,검토필요,Frontend,N/A
접근성,A11Y-003,ARIA 속성,적절한 ARIA 속성 추가,Medium,검토필요,Frontend,N/A
테스트,TEST-001,단위 테스트,컴포넌트 단위 테스트,High,미구현,Frontend,N/A
테스트,TEST-002,통합 테스트,API 통합 테스트,High,미구현,Frontend,N/A
테스트,TEST-003,E2E 테스트,End-to-End 테스트,Medium,미구현,Frontend,N/A
모니터링,MONITOR-001,에러 로깅,에러 로깅 시스템,Medium,검토필요,Frontend/Backend,N/A
모니터링,MONITOR-002,성능 모니터링,성능 메트릭 수집,Low,미구현,Frontend,N/A
모니터링,MONITOR-003,사용자 분석,사용자 행동 분석,Low,미구현,Frontend,N/A
배포,DEPLOY-001,GitLab CI/CD,자동화된 배포 파이프라인,High,구현완료,DevOps,.gitlab-ci.yml
배포,DEPLOY-002,환경별 설정,개발/프로덕션 환경 분리,High,구현완료,DevOps,.env / .env.dev
배포,DEPLOY-003,빌드 최적화,프로덕션 빌드 최적화,High,구현완료,Frontend,webpack.prod.js
문서화,DOC-001,README,프로젝트 README 문서,High,구현완료,Documentation,README.md
문서화,DOC-002,코드 주석,코드 내 주석 작성,Medium,진행중,Frontend,N/A
문서화,DOC-003,API 문서,API 명세 문서,High,검토필요,Documentation,N/A
문서화,DOC-004,컴포넌트 문서,컴포넌트 사용 가이드,Medium,미구현,Documentation,N/A
