카테고리,기능,우선순위,상태,설명,비고
인증,지갑 생성,높음,완료,BIP39 표준 니모닉 생성 (12/24단어),-
인증,지갑 복구,높음,완료,니모닉 구문 또는 개인키를 통한 복구,-
인증,지갑 가져오기,높음,완료,기존 지갑 가져오기,-
인증,지갑 잠금/잠금해제,높음,완료,패스워드/PIN/생체인증,-
대시보드,자산 요약,높음,완료,보유 자산 목록 및 총 가치 표시,-
대시보드,지갑 주소 표시,높음,완료,지갑 주소 및 QR 코드,복사 기능 포함
대시보드,자산 변동 그래프,중간,완료,시간별 자산 가치 추이,Recharts 사용
대시보드,네트워크 상태,중간,완료,블록/트랜잭션/노드 정보,-
거래,송금,높음,완료,수신자 주소 입력 및 금액 설정,-
거래,수신,높음,완료,내 주소 QR 코드 생성,-
거래,거래 내역,높음,완료,모든 거래 내역 조회,-
거래,거래 상세,높음,완료,거래 상세 정보 표시,-
주소록,주소 추가/편집/삭제,중간,진행중,자주 사용하는 주소 관리,-
주소록,주소 그룹화,중간,예정,주소 카테고리별 관리,-
주소록,주소 라벨링,중간,예정,주소에 이름/메모 추가,이모지 지원
설정,언어 설정,중간,완료,다국어 지원 (한/영/일),next-intl
설정,테마 설정,낮음,완료,라이트/다크 모드,next-themes
설정,보안 설정,높음,완료,자동 로그아웃,세션 관리
보안,개인키 관리,높음,완료,클라이언트 측 암호화,-
보안,데이터 암호화,높음,완료,로컬 스토리지 암호화,AES-256
보안,세션 관리,높음,완료,자동 타임아웃,-
토큰,토큰 잔액 조회,중간,완료,보유 토큰 목록,-
토큰,토큰 전송,중간,완료,토큰 송금,-
토큰,토큰 추가,낮음,예정,커스텀 토큰 등록,-
네트워크,블록 정보 조회,중간,완료,최근 블록 정보,-
네트워크,트랜잭션 조회,중간,완료,블록체인 트랜잭션 조회,-
네트워크,네트워크 상태 모니터링,낮음,예정,실시간 네트워크 상태,-
UI/UX,반응형 디자인,높음,완료,모바일/태블릿/데스크톱 지원,-
UI/UX,다크 모드,중간,완료,시스템 설정 연동,-
UI/UX,로딩 상태 표시,중간,완료,로딩 스피너/스켈레톤,-
UI/UX,오류 처리,높음,완료,사용자 친화적 오류 메시지,-
백업 및 복구,니모닉 백업,높음,완료,암호화된 니모닉 백업,-
백업 및 복구,개인키 내보내기,중간,완료,암호화된 개인키 내보내기,-
백업 및 복구,지갑 백업 파일,중간,완료,암호화된 지갑 파일,-
알림,거래 알림,낮음,예정,거래 상태 알림,-
알림,가격 알림,낮음,예정,사용자 지정 가격 알림,-
검색,주소 검색,중간,완료,블록체인 주소 검색,-
검색,트랜잭션 검색,중간,완료,트랜잭션 해시 검색,-
검색,블록 검색,중간,완료,블록 높이/해시 검색,-
내보내기,거래 내역 내보내기,낮음,예정,CSV/PDF 형식,-
내보내기,세금 보고서,낮음,예정,거래 내역 기반,-
PWA,오프라인 지원,낮음,예정,서비스 워커,-
PWA,홈 화면 추가,낮음,예정,앱처럼 설치,-
보안,2단계 인증,중간,예정,2FA 지원,-
보안,지갑 연결 관리,중간,예정,연결된 DApp 관리,-
개발자,개발자 도구,낮음,예정,블록체인 상호작용,-
개발자,API 문서,낮음,예정,내장 API 문서,-
지원,도움말 센터,낮음,예정,자주 묻는 질문,-
지원,피드백 제출,낮음,예정,사용자 피드백 수집,-
업데이트,자동 업데이트,중간,진행중,새 버전 알림,-
업데이트,변경 로그,중간,진행중,버전별 변경 사항,-
성능,캐싱 전략,높음,완료,API 응답 캐싱,React Query
성능,코드 스플리팅,중간,완료,페이지별 코드 분할,Next.js
성능,이미지 최적화,중간,완료,자동 이미지 최적화,Next.js Image
접근성,키보드 네비게이션,중간,완료,접근성 향상,-
접근성,스크린 리더 지원,중간,완료,ARIA 라벨,-
로깅,사용자 활동 로깅,중간,완료,디버깅 용도,-
로깅,에러 로깅,높음,완료,원격 에러 추적,-
